handle,name,age,num_of_tweets,has_profile,has_pic,num_following,num_of_favorites,num_of_lists,num_of_followers
romainrigaux,Romain Rigaux,1657,231,0,1,120,1,11,191
bangucs,Mitsuo Hangai,1820,5553,1,1,924,16,35,723
HadoopHive,BigData,1045,1,0,0,27,0,6,92
iamtourmalet,Jason H.,1786,5827,1,1,968,1716,17,391
ClouderaConnect,Cloudera Connect,843,444,1,1,14,0,12,433
ferdous,Nurul Ferdous,2006,1827,1,1,358,247,39,1150
coyled,"Coyle, D",1816,217,1,1,196,5,18,218
hamaken,Kenichiro HAMANO,2185,4987,0,1,247,149,106,959
sugimori,SUGIMORI (杉森 隆行),2294,18086,1,1,980,816,56,748
michio009,みっちぃー,1741,3250,1,1,2484,1260,167,2272
ashutoshchauhan,Ashutosh Chauhan,2194,73,0,1,428,3,9,221
justinwhancock,Justin Hancock,1290,571,0,1,116,112,6,154
torajirohadoop,Torajiro Hadoop,1313,63,0,0,83,1,3,55
sidudun,Arif N,1915,12003,1,1,515,144,41,586
zllak,Thomas Meson,1238,381,0,1,418,34,13,218
shige10,Atsushi SHIGETA,1702,3356,0,1,514,2,48,537
macjacktw,macjacktw,2143,676,1,1,1999,1300,11,375
BDAnalyticsnews,bigdataanalyticsnews,253,273,0,1,1994,0,28,908
ofirm,Ofir Manor,1865,621,0,1,108,65,9,185
korinreid,Korin Reid,1709,14552,1,1,1363,1203,9,549
singhhadoop,singh_hadoop,613,179,0,1,1,2,0,6
hadoop90,邊荒俠客,337,6,0,1,10,0,1,2
hadoopor,hadoop,390,1,0,1,12,0,0,7
NoHadoop,NoHadoop,1276,0,0,1,4,0,0,10
littel_hadoop,littel_hadoop,1648,0,0,0,0,0,1,14
ShitHadooperSay,ShitHadooperSays,363,0,0,1,5,0,0,2
accure_hadoop,Accure Pvt Ltd,351,76,0,1,20,0,1,12
hadoopJava,java,367,0,0,1,11,0,0,4
hadoop2,lahneh-kafe,672,0,0,1,0,0,0,4
hsteph,Stéphane Heckel,2121,2573,1,1,788,1102,46,756
gymward,Jim Ward,581,118,1,1,331,14,10,155
myagiledata,AgileDataWarehousing,702,1313,1,1,1982,28,43,1406
deinspanjer,Daniel Einspanjer,2050,629,1,1,153,3,46,319
tresata,tresata,1142,673,1,1,168,71,29,427
kkawamura,Keisuke Kawamura,2575,17565,1,1,779,1169,146,1281
DBA_J,Jason Williams,1163,1577,0,1,1998,0,42,724
paulborgermans,Paul Borgermans,2228,588,1,1,381,0,72,576
N2InformaticsRN,Charles Boicey,1839,1140,1,1,259,9,25,491
jpkoenig,jpkoenig,2177,2027,1,1,267,63,26,418
HadoopT,Hadoop Tutor,244,2,0,1,23,0,0,6
